Page_ID,image_filename,has_date,date_full_text,date_year_extracted,has_two_columns,is_signed,signature_count,signature_location,has_top_left_mark,top_left_mark_count,additional_archivist_marks_count,total_archivist_marks_count,quondam_total,quondam_left,quondam_right,quondam_names,quondam_names_count,con_total,con_left,con_right,text_after_con,text_after_con_count,e_conjunction_total,e_conjunction_left,e_conjunction_right,text_after_e,text_after_e_count,named_travelers_total,named_travelers_left,named_travelers_right,unnamed_travelers_total,unnamed_travelers_left,unnamed_travelers_right,place_of_origin_total,place_of_origin_left,place_of_origin_right,unique_places_of_origin_nationality,place_of_stay_total,place_of_stay_left,place_of_stay_right,unique_places_of_stay,place_of_stay_with_person_name,traveler_label_types,bracket_total,bracket_left,bracket_right,bracket_annotation_count,has_bracket_annotation,bracket_annotation_text,bracket_contained_count,bracket_label_types
AVS IS 758-781 1768 01 16 p3.jpg,AVS IS 758-781 1768 01 16 p3.jpg,Y,16 January 1768 M.V.,1768,yes,N,0,,N,0,0,0,8,4,4,Mandolin Polacco | Emanuel Pesaro | Beniamin Ottolengo | Emanuel Pesaro | Leon Monek | Beniamin Ottolengo | Emanuel Pesaro | Simon Todesco,8,2,1,1,"moglie, una figlia | moglie, una figlia",2,2,1,1,un domestico | un domestico,2,23,13,10,4,2,2,22,13,9,,31,11,20,,,"Traveler Name, Place of origin, Place of Stay",1,0,1,1,Y,Ambedue di Padova,1,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 02 20.jpg,AVS IS 758-781 1768 02 20.jpg,Y,20 February 1768 M.V.,1768,yes,N,0,,Y,1,0,1,0,0,0,,0,12,3,9,un domestico | un domestico | due compagni | tre domestici | un domestico | un domestico | il suo Aggio | un domestico | un domestico | sua moglie | un domestico | un domestco,12,2,1,1,un domestico | due domestici,2,35,17,18,17,5,12,28,14,14,,15,13,2,,,"Traveler Name, Place of origin, Place of Stay",7,4,3,7,Y,"[""ambedue di Trieste"",""ambedue di Trieste"",""ambedue Francesi"",""ambedue di Verona"",""tutti Polacchi"",""ufficiali ? ovati"",""ambedue Anovaresi ?""]",7,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 03 26.jpg,AVS IS 758-781 1768 03 26.jpg,Y,28 March 1768,1768,yes,N,0,,Y,1,2,3,2,1,1,Fran.co (Francesco) | Fedrico,2,7,4,3,un domestico | un domestico | tre domestici | un domestico | moglie | un domestico | un domestico,7,1,0,1,una figliuola,1,26,15,11,10,6,4,21,11,10,,24,21,3,,,"Traveler Name, Place of origin, Place of Stay",4,3,1,4,Y,"[""Ambedue di Verona"",""Tutti e tre ____ Inglesi"",""ambedue di Zorigo?"",""ambedue Francesci""]",4,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 02.jpg,AVS IS 758-781 1768 05 02.jpg,Y,2 May 1768,1768,yes,Y,1,right,Y,1,1,2,1,0,1,Dom.co (Domenico),0,2,2,0,un domestico | una sua sorella,2,0,0,0,,0,6,4,2,2,2,0,4,3,1,,7,3,4,,,"Traveler Name, Place of origin, Place of Stay",2,1,1,2,Y,"[""ambedue Geneovini"",""ambedue di Piova""]",2,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 08 p2.jpg,AVS IS 758-781 1768 05 08 p2.jpg,N,,,yes,N,0,,N,0,0,0,12,9,3,Carlo | OII.o | Gios.o | Gio.o | Bernardo | Giacinto | Gio.o | Fran.co (Francesco) | Sebast.o (Sebastiano) | Gio:Batta (Giovanni Battista) | Gio:Batta (Giovanni Battista) | Gio: Maria (Giovanni Maria),12,3,3,0,una figlia | sette domestici | due fratelli,3,1,1,0,un figlio,1,31,27,4,11,11,0,26,22,4,,6,5,1,,,"Traveler Name, Place of origin, Place of Stay",2,2,0,2,Y,Tutti e tre di Callvan?,2,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 08 p3.jpg,AVS IS 758-781 1768 05 08 p3.jpg,N,,,yes,N,0,,N,0,1,1,5,4,1,Gio.a | Gior.o | Gior.o | Ant.o (Antonio) | Calio,5,15,7,8,sua moglie | due domestici | un domestico | sua moglie | sua moglie | sua moglie | un domestico | sua moglie | una figlia | dodeci domestici | due domestici | tre domestici | un domestico | un domestico | un domestico,15,1,1,0,sei domestici,1,52,27,25,25,14,11,24,12,12,,12,5,7,,,"Traveler Name, Place of origin, Place of Stay",10,5,5,9,Y,"[""Tutti di Firenze"",""ambedue di Slesia ? con due Domestici"",""ambedue Tedeschi"",""Tutti di Vicenza"",""Tutti di Vincenza"",""Tutti Tedeschi con dodeci Domestici"",""ambedue di Caltran?"",""ambedue Inglesi con due Domestici"",""ambedue di Verona""]",10,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 08 p4.jpg,AVS IS 758-781 1768 05 08 p4.jpg,N,,,yes,N,0,,N,0,1,1,11,7,4,Carlo | Gios.o | Gio: Batto (Giovanni Battista) | Fran.co (Francessco) | Tom.o (Tomaso) | And.a | And.a | And.a | Sabagi.o | Benetto,10,15,6,9,sua moglie | un figlio | un domestico | sua moglie | due domestici | otto domestici | un domestico | due domestici | sua moglie | tre domestici | cinque domestici | un domestico | un figlio | sua moglie | sua moglie,15,2,1,1,due figliuoli | un fratello,2,62,29,33,33,16,17,34,14,20,,9,4,5,,,"Traveler Name, Place of origin, Place of Stay",11,7,4,11,Y,"[""tutti e tre di Postaggio?"",""tutti e tre di Salò"",""tutti e tre di Bassan"",""tutti e tre di Udine"",""tutti e tre di Vicenza"",""ambedue di Forli con due domestici"",""tutti Inglesi con ??? Domestici"",""tutti e quattro di Verona con cinque Domestici"",""ambedue di Mantova"",""ambedue di Milano con un Domestico"",""tutti di Valsugana""]",11,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 08 p5.jpg,AVS IS 758-781 1768 05 08 p5.jpg,N,,,yes,Y,1,right,N,0,1,1,2,0,2,Gios.o | Ignazio,2,9,6,3,un figlio | un figlio | un domestico | tre domestici | un domestico | cinque domestici | due domestici | due domestici | un nipote,9,1,1,0,un domestico,1,33,22,11,18,13,5,26,17,9,,8,7,1,,,"Traveler Name, Place of origin, Place of Stay",6,3,3,6,Y,"[""Tutti e tre Gentiluomini Inglesi con cinque Domestici"",""ambedue di Cararzere?"",""ambedue dalla Pettovazza?"",""ambedue di Padova"",""ambedue di Genova"",""Tutti e tre di Bergamo""]",6,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 08.jpg,AVS IS 758-781 1768 05 08.jpg,Y,8 May 1768,1768,yes,N,0,,Y,1,1,2,6,2,4,"Pie:Fran.co (Pier Francesco) | Gio: Carlo | Gio:Pro.a | Giorgio Can.co | Fran,co (Francesco) | Clemente",6,14,13,1,un domestico | un domestico | quindeci domestici | sua moglie | due domestici | sua moglie | una cameriera | due domestici | un domestico | moglie | tre domestici | sua moglie | tre domestici | un domestico,14,2,2,0,quattro domestici | una figlia,2,42,23,19,25,24,1,21,13,8,,13,5,8,,,"Traveler Name, Place of origin, Place of Stay",6,3,3,6,Y,"[""ambedue di Boemi con un domestico"",""tutti di Vienna con quindeci domestici"",""Tutti ungheri"",""Ferraresi"",""tutti di Sacik?"",""tutti e tre di Padova con un Domestico""]",6,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 09 p1.jpg,AVS IS 758-781 1768 05 09 p1.jpg,Y,9 May 1768,1768,yes,N,0,,N,0,0,0,11,6,5,Jacob Todesco | Emanuel Pesaro | Emanuel Pesaro | Lazaro Loria | Emanuel Pesaro | Samuel Todesco | Beniamin Otto: | lengo | Salomon Arigador | Abram Todesco | Beniamin Ottolengo | Emanuel Pesaro | (cont.),13,5,3,2,un figliuolo | un figliuolo | un figliuolo | un domestico | moglie,5,1,0,1,tre figliuoli,1,20,10,10,8,3,5,21,10,11,,29,9,20,,,"Traveler Name, Place of origin, Place of Stay",0,0,0,0,N,,0,
AVS IS 758-781 1768 05 09 p2.jpg,AVS IS 758-781 1768 05 09 p2.jpg,Y,9 May 1768,1768,yes,Y,1,right,N,0,0,0,1,1,0,Gio:,0,1,1,0,tre domestici,0,0,0,0,,0,6,6,0,0,0,0,3,2,1,,4,2,2,,,"Traveler Name, Place of origin, Place of Stay",1,1,0,1,Y,tutti di Pavia,1,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05 09 p3.jpg,AVS IS 758-781 1768 05 09 p3.jpg,N,,,yes,N,0,,N,0,0,0,2,0,2,Emanuel Pesaro | Ema: | nuel Pesaro,3,1,0,1,un figliuolo,0,0,0,0,,0,5,0,5,0,0,0,5,0,5,,6,2,4,,,"Traveler Name, Place of origin, Place of Stay",0,0,0,0,N,,0,
AVS IS 758-781 1768 05 16.jpg,AVS IS 758-781 1768 05 16.jpg,Y,16 May 1768,1768,yes,Y,1,right,Y,1,1,2,7,7,0,And:a (Andrea) francese | Andrea borghese | Andrea borghese | Paolo | Pro(ce) | Gios:a | Francesco,7,5,5,0,un domestico | un domestico | un domestico | tre domestici | quattro domestici,5,0,0,0,,0,20,15,5,10,10,0,17,13,4,,12,7,5,,,"Traveler Name, Place of origin, Place of Stay",3,2,1,3,Y,"[""Ambedue di Udine"",""ambedue di Zorigo"",""ambedue di Milano""]",3,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 05.jpg,AVS IS 758-781 1768 05.jpg,Y,5 December 1768,1768,yes,N,0,,Y,1,1,2,3,2,1,Ottavio | Giovanni Battista | Gio:,3,4,2,2,moglie | due domestici | sua moglie | suo figliuolo,4,3,1,2,due compagni | un domestico | quattro domestici,3,27,14,13,12,5,7,17,11,6,,19,17,2,,,"Traveler Name, Place of origin, Place of Stay",6,2,4,6,Y,"[""ambedue di Verona"",""tutti e tre di Padova"",""tutti Grisoni?"",""ambedue di Piove"",""ambedue di Campidonia"",""ambedue di Roveredo""]",6,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 08 01.jpg,AVS IS 758-781 1768 08 01.jpg,Y,1 August 1768,1768,yes,Y,1,right,Y,1,1,2,2,0,2,Gio: Anto: | Tomioti,2,5,4,1,cinque Officiali | sua moglie | undeci domestici | due domestici | un suo filgliuolo,5,1,1,0,tre domestici,1,14,11,3,8,7,1,8,7,1,,10,5,5,,,"Traveler Name, Place of origin, Place of Stay",1,1,0,1,Y,ambedue Francesi,1,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 09.jpg,AVS IS 758-781 1768 09.jpg,Y,12 September 1768,1768,yes,Y,1,right,Y,1,1,2,6,6,0,Paolo | Antonio | Gios:a | Gasparo | Gios:a | Andrea,6,3,3,0,un domestico | due domestici | un figliuolo,3,1,1,0,un domestico,1,11,11,0,5,5,0,7,1,6,,6,5,1,,,"Traveler Name, Place of origin, Place of Stay",2,2,0,2,Y,"[""Ambedue di Valcamonica"",""Tutti di Bergamo""]",2,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 11 07.jpg,AVS IS 758-781 1768 11 07.jpg,Y,7 November 1768,1768,yes,N,0,,Y,1,0,1,2,1,1,Paolo | Paolo,2,7,6,1,"due domestici | un segretario, dues camerieri | un domestico | due domestici | un domestico | una cameriera | un domestico",7,1,1,0,tre domestici,1,26,17,9,12,11,1,21,15,6,,23,8,15,,,"Traveler Name, Place of origin, Place of Stay",3,1,2,3,Y,"[""tutti e tre di Piove"",""tutti e tre di Praga"",""tutti e tre di Piove""]",3,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1768 11 28.jpg,AVS IS 758-781 1768 11 28.jpg,Y,28 November 1768,1768,yes,N,0,,Y,1,2,3,2,2,0,Andrea | Gio:,2,7,6,1,un figlio | un domestico | sua moglie | quattro domestici | un figlio | un figlio | un suo nipote,7,0,0,0,,0,22,16,6,10,9,1,19,15,4,,12,11,1,,,"Traveler Name, Place of origin, Place of Stay",5,3,2,5,Y,"[""Inglesi"",""ambedue di Montagnana"",""ambedue di Roveredo"",""ambedue d'Ungheria"",""ambedue di Vienna""]",5,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1769 05 p1.jpg,AVS IS 758-781 1769 05 p1.jpg,Y,8 May 1769,1769,yes,N,0,,N,0,0,0,4,3,1,Aron Coen | Simon Todesco | Emanuel Pesaro | Lazaro Loria,4,2,1,1,sua moglie | moglie,2,4,3,1,una figlia | figlia | figlia | una figlia,4,13,11,2,6,4,2,15,14,1,,23,21,2,,,"Traveler Name, Place of origin, Place of Stay",0,0,0,0,N,,0,
AVS IS 758-781 1769 05 p2.jpg,AVS IS 758-781 1769 05 p2.jpg,N,,,yes,N,0,,N,0,0,0,8,6,2,Emanuel Pesaro | Emanuel Pesaro | Beniamin Ottolengo | Jacob | Loria | Dottor | Alessandro Vitali | Emanuel Pesaro | Simeon | Benedetto To: | desco,11,1,1,0,un figlio,0,0,0,0,,0,22,18,4,0,0,0,18,15,3,,22,20,2,,,"Traveler Name, Place of origin, Place of Stay",3,2,1,3,Y,"[""ambedue di Montova"",""tutti di Ferrara"",""ambedue di Cento""]",3,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 03.jpg,AVS IS 758-781 1770 03.jpg,Y,5 March 1770,1770,yes,Y,1,right,Y,1,1,2,0,0,0,,0,2,1,1,due domestici | un domestico,2,0,0,0,,0,14,8,6,3,2,1,10,5,5,,19,9,10,,,"Traveler Name, Place of origin, Place of Stay",4,3,1,4,Y,"[""ambedue Inglesi"",""ambedue di Lendenara"",""ambedue di Zorigo"",""ambedue di Lendenara""]",4,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05 13.jpg,AVS IS 758-781 1770 05 13.jpg,Y,13 March 1770,1770,yes,Y,1,right,Y,1,2,3,0,0,0,,0,7,6,1,un domestico | un domestico | un domestico | un sua figlia | un domestico | un domestico | un domestico,7,0,0,0,,0,15,11,4,7,6,1,13,10,3,,10,7,3,,,"Traveler Name, Place of origin, Place of Stay",2,1,1,2,Y,"[""ambedue di Verona"",""ambedue di Verona""]",2,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05 17 p1.jpg,AVS IS 758-781 1770 05 17 p1.jpg,N,,,yes,Y,1,right,N,0,2,2,0,0,0,,0,8,5,3,quattro domestici | un domestico | un domestico | quattro domestici | due domestici | un domestico | due domestici | una cameriera,8,0,0,0,,0,26,16,10,16,12,4,17,10,7,,12,7,5,,,"Traveler Name, Place of origin, Place of Stay",6,4,2,6,Y,"[""ambedue di Udine"",""tutti e tre gentiluomini Inglesi"",""gentiluomini Inglesi"",""ambedue di Brescia"",""ambedue di Ferrara"",""tutti di Verona""]",6,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05 17 p2.jpg,AVS IS 758-781 1770 05 17 p2.jpg,Y,21 May 1770,1770,yes,N,0,,Y,1,1,2,4,3,1,Emanuel Pesaro | Beniamin Ottolengo | Emanuel Pesaro | Emanuel Pesaro,4,1,0,1,un domestico,0,0,0,0,,0,17,8,9,0,0,0,17,7,10,,15,7,8,,,"Traveler Name, Place of origin, Place of Stay",2,1,1,2,Y,"[""ambedue di Verona"",""ambedue di Verona""]",2,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05 28 p1.jpg,AVS IS 758-781 1770 05 28 p1.jpg,Y,28 May 1770,1770,yes,Y,1,right,Y,1,3,4,0,0,0,,0,10,8,2,un domestico | un domestico | due domestici | due domestici | sua moglie | quattro domestici | quattro domestici | cinque domestici | un domestico | un domestico,10,0,0,0,,0,34,24,10,22,20,2,23,14,9,,10,4,6,,,"Traveler Name, Place of origin, Place of Stay",8,7,1,8,Y,"[""ambedue d' Udine"",""ambedue di Milano"",""tutti e tre Francesci"",""di Brescia"",""tutti Inglesi"",""tutti e tre di Genova"",""ambedue di Gratz"",""ambedue di Baveria""]",8,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05 28 p2.jpg,AVS IS 758-781 1770 05 28 p2.jpg,N,,,yes,N,0,,N,0,4,4,0,0,0,,0,16,5,11,un domestico | un domestico | is suo Aggio | sua moglie | moglie | sua moglie | un suo capellano | quattro domestici | due domestici | sua moglie | sua moglie | due domestici | un figlio | un domestico | quattro domestici | un capellano,16,5,3,2,due domestici | una figlia | due domestici | due domestici | quattro domestici,5,49,22,27,32,9,23,34,16,18,,12,5,7,,,"Traveler Name, Place of origin, Place of Stay",13,6,7,13,Y,"[""ambedue di Vienna"",""Ambedue di Piacenza"",""ambedue di Bologna"",""Ambedue di Genova"",""Tutti e due di Firenze"",""di ????? di Bellano"",""Tutti e tre di Genova"",""Tutti di Verona"",""ambedue Tedeschi"",""ambedue Inglesi"",""Inglesi"",""ambedue di Firenze"",""ambedue di Cremona""]",13,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05 28 p3.jpg,AVS IS 758-781 1770 05 28 p3.jpg,Y,28 May 1770,1770,yes,N,0,,N,0,0,0,5,3,2,Emanuel Pesaro | Emanuel Pesaro | Emanuel Pesaro | Emanuel Pesaro | Emanuel Pesaro,5,1,0,1,un figlio,1,1,1,0,moglie,1,30,18,12,2,1,1,19,13,6,,14,10,4,,,"Traveler Name, Place of origin, Place of Stay",7,5,2,7,Y,"[""Ambedue di Mantova"",""Ambedue di Mantova"",""Ambedue di Bre???"",""di Verona"",""ambedue dal Fina??"",""Ambedue di San Polo"",""Tutti di Ferrara""]",7,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 05.jpg,AVS IS 758-781 1770 05.jpg,Y,21 May 1770,1770,yes,N,0,,N,0,1,1,0,0,0,,0,4,4,0,un domestico | moglie | un domestico | un figlio,4,1,1,0,un domestico,1,18,14,4,5,5,0,15,12,3,,13,10,3,,,"Traveler Name, Place of origin, Place of Stay",3,2,1,3,Y,"[""Ambedue di Vincenza"",""Ambedue di Verona"",""Ambedue di Brescia""]",3,"bracket annotation, bracket, contained by bracket"
AVS IS 758-781 1770 08.jpg,AVS IS 758-781 1770 08.jpg,Y,20 August 1770,1770,yes,Y,1,right,Y,1,1,2,0,0,0,,0,2,2,0,un domestico | due domestici,2,0,0,0,,0,10,8,2,3,3,0,9,7,2,,6,4,2,,,"Traveler Name, Place of origin, Place of Stay",1,1,0,1,Y,Ambedue Inglesi,1,"bracket annotation, bracket, contained by bracket"
